QSPRID	O00222_imputed_Label	O15303_imputed_Label	P41594_imputed_Label	Q13255_imputed_Label	Q14416_imputed_Label	Q14831_imputed_Label	Q14832_imputed_Label	Q14833_imputed_Label	O00222_imputed_Prediction	O15303_imputed_Prediction	P41594_imputed_Prediction	Q13255_imputed_Prediction	Q14416_imputed_Prediction	Q14831_imputed_Prediction	Q14832_imputed_Prediction	Q14833_imputed_Prediction
tutorial_data_4395	5.070666666666667	4.955192307692307	6.461379853479853	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	6.83	5.070666666666667	4.955192307692307	6.461379853479853	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	6.696000000000001
tutorial_data_5034	5.070666666666667	4.955192307692307	6.957000000000001	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635	5.070666666666667	4.955192307692307	6.668200000000001	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635
tutorial_data_6866	5.070666666666667	4.955192307692307	5.242000000000001	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635	5.070666666666667	4.955192307692307	5.1512	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635
tutorial_data_1447	5.070666666666667	4.955192307692307	7.62	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635	5.070666666666667	4.955192307692307	7.6290000000000004	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635
tutorial_data_1889	5.070666666666667	4.955192307692307	6.461379853479853	6.286031794871795	8.12	4.75214606741573	6.044017441860466	5.833705607476635	5.070666666666667	4.955192307692307	6.461379853479853	6.286031794871795	7.886	4.75214606741573	6.044017441860466	5.833705607476635
tutorial_data_147	5.070666666666667	4.955192307692307	5.523	8.34	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635	5.070666666666667	4.955192307692307	5.710675970695971	7.28160635897436	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635
tutorial_data_2667	4.55	4.955192307692307	6.461379853479853	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	4.72	4.431133333333333	5.024676923076923	6.461379853479853	6.286031794871795	6.82471087928465	4.3328584269662915	6.044017441860466	5.192541121495327
tutorial_data_6328	4.94	5.851	6.461379853479853	6.286031794871795	9.251	4.75214606741573	9.62	5.833705607476635	5.092533333333334	5.262238461538462	6.461379853479853	6.286031794871795	7.352600000000001	4.75214606741573	7.4248	5.833705607476635
tutorial_data_2653	5.070666666666667	4.955192307692307	6.461379853479853	6.286031794871795	5.931	4.75214606741573	6.044017441860466	5.833705607476635	5.070666666666667	4.955192307692307	6.461379853479853	6.286031794871795	5.986	4.75214606741573	6.044017441860466	5.833705607476635
tutorial_data_5626	5.070666666666667	4.955192307692307	6.461379853479853	6.286031794871795	7.24	4.75214606741573	6.044017441860466	5.833705607476635	5.070666666666667	4.955192307692307	6.461379853479853	6.286031794871795	7.635	4.75214606741573	6.044017441860466	5.833705607476635
tutorial_data_6220	5.38	4.955192307692307	6.461379853479853	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	6.05	5.676	5.008076923076923	6.461379853479853	6.286031794871795	6.82471087928465	4.451287640449438	6.044017441860466	5.982
tutorial_data_4361	5.070666666666667	4.955192307692307	7.05	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635	5.070666666666667	4.955192307692307	7.592599999999999	6.286031794871795	6.82471087928465	4.75214606741573	6.044017441860466	5.833705607476635
